"id"	"Lib151Humandendritic0hrLPSrep1_IP"	"Lib151Humandendritic0hrLPSrep2_IP"	"Lib151Humandendritic0hrLPSrep3_IP"	"Lib151Humandendritic3hrLPSrep1_IP"	"Lib151Humandendritic3hrLPSrep2_IP"	"Lib151Humandendritic3hrLPSrep3_IP"	"Lib151Humandendritic6hrLPSrep1_IP"	"Lib151Humandendritic6hrLPSrep2_IP"	"Lib151Humandendritic6hrLPSrep3_IP"	"geneSymbol"	"name"	"desc"	"txLength"
56	0	0	0	0	0	0	0	0	0	"Gm106"	"uc007ajj.1"	"RPE-spondin precursor"	2748
57	1	0	0.75	0	0	0	0	0	0	"AK015384"	"uc007ajk.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930444P10 product:hypothetical Arginine-rich region containing protein, full insert sequence."	1844
58	11302	11848.14	13933.08	9682.97	9440	9212	8350.99	10306.94	8475	"Rpl7"	"uc007ajl.2"	"60S ribosomal protein L7"	934
59	54	53	59	154	98	77	83	75	52	"Rdh10"	"uc007ajm.1"	"retinol dehydrogenase 10"	2295
60	17	27	27	26	35	36	31	15	19	"Stau2"	"uc007ajn.2"	"double-stranded RNA-binding protein Staufen"	2890
61	246.48	255.76	322.72	261.14	229.79	198.91	291.71	208.23	230.24	"Ube2w"	"uc007ajt.1"	"probable ubiquitin-conjugating enzyme E2 W"	2354
62	318	358	426	451.97	388	342	472	450	435	"Tceb1"	"uc007ajv.1"	"transcription elongation factor B polypeptide 1"	955
63	377.11	388.75	494	405.89	373.07	342	451.84	500.48	396.2	"Tmem70"	"uc007ajy.1"	"transmembrane protein 70, mitochondrial isoform"	1729
64	79.52	110.25	82.03	95.22	75.58	69.77	140.28	113.32	92.11	"Ly96"	"uc007ajz.2"	"lymphocyte antigen 96 isoform A"	603
65	0	1	0	0	1	0	1	2	0	"Jph1"	"uc007aka.1"	"junctophilin-1"	2192
66	0	0	0	0	0	1	0	0	0	"Gdap1"	"uc007akc.2"	"ganglioside-induced differentiation-associated"	3937
67	0	0	0	0	0	0	0	0	0	"AK135932"	"uc007akd.1"	"Mus musculus in vitro fertilized eggs cDNA, RIKEN full-length enriched library, clone:7420436E03 product:unclassifiable, full insert sequence."	1009
68	11.16	4.01	2.99	3.58	17.61	2.63	7.97	3.51	13.96	"Pi15"	"uc007ake.2"	"peptidase inhibitor 15"	6923
69	1	0	0	0.19	3.15	3.12	4	3.02	3.78	"AK038933"	"uc007akf.1"	"Mus musculus adult male colon cDNA, RIKEN full-length enriched library, clone:9030207K14 product:unclassifiable, full insert sequence."	2264
70	0	0	0	0	0	0	0	0	0	"Crispld1"	"uc007akh.1"	"cysteine-rich secretory protein LCCL"	4006
71	0	0	0	0	0	0	0	0	0	"Crisp4"	"uc007aki.1"	"cysteine-rich secretory protein 1"	1193
72	0	0	0	0	0	0	0	0	0	"Defb49"	"uc007akl.1"	"Mus musculus beta-defensin 49 (Defb49) mRNA, complete cds."	222
73	0	0	0	0	0	0	0	0	0	"Defb18"	"uc007akm.1"	"beta-defensin 18 precursor"	258
74	0	0	0	0	0	0	0	0	0	"Gm15386"	"uc007ako.1"	"beta-defensin 17 precursor"	256
75	0	0	0	0	0	0	0	0	0	"Tcfap2d"	"uc007akp.1"	"transcription factor AP-2-delta"	1747
76	1.05	1	1	0	0	0	0	1	0	"Tcfap2b"	"uc007akt.1"	"transcription factor AP-2-beta isoform 2"	6056
77	0	0	0	0	0	0	0	0	0	"Pkhd1"	"uc007akv.1"	"polyductin"	12928
78	1	0	0	0	0	0	0	0	1	"Mir206"	"uc011win.1"	"Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930439P04 product:unclassifiable, full insert sequence."	3878
79	0	0	0	0	0	0	0	0	0	"Il17a"	"uc007aky.1"	"interleukin-17A precursor"	1171
80	0	0	0	0	0	0	0	0	0	"Il17f"	"uc007ala.1"	"interleukin-17F precursor"	1175
81	0	0	0	0	0	0	0	0	0	"AK205147"	"uc007alb.1"	"Mus musculus cDNA, clone:Y1G0142J18, strand:unspecified."	370
82	2872	2077	2028	608	698	621	729	639	816	"Mcm3"	"uc007alc.1"	"DNA replication licensing factor MCM3"	2886
83	33	19	15	12	16	8	9	6	13	"Paqr8"	"uc007ald.1"	"membrane progestin receptor beta"	4420
84	3	4	4	1	1	0	2	2	1	"Efhc1"	"uc007alf.2"	"EF-hand domain-containing protein 1"	2208
85	28	19	18	12	20	14	15	14	8	"Tram2"	"uc007alg.1"	"translocating chain-associated membrane protein"	1409
86	0	0	0	0	0	0	0	0	0	"AK138554"	"uc007alh.1"	"Mus musculus adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330062A16 product:unclassifiable, full insert sequence."	372
87	17	26	31	5	10	7	8	11	7	"Tmem14a"	"uc007alj.1"	"transmembrane protein 14A"	1112
88	13	20	35	12	10	10	7	9	5	"Gsta3"	"uc007all.1"	"glutathione S-transferase A3"	1355
89	1.97	2	1	0	0	3	3	3	0	"Gm4956"	"uc007alm.1"	"RecName: Full=Glutathione S-transferase;          EC=2.5.1.18;"	1148
90	0	0	0	1	0	0	0	0	0	"Khdc1a"	"uc007aln.1"	"KH homology domain-containing protein 1A"	1950
91	0	0	0	0	0	0	0	1	0	"Khdc1c"	"uc007alo.1"	"KH homology domain-containing protein 1C"	844
92	0	0	0	0	0	0	0	0	0	"Khdc1b"	"uc007alp.2"	"KH homology domain-containing protein 1B"	2247
93	2	2	0	4.42	3	2	2	2	0	"Kcnq5"	"uc011wio.1"	"potassium voltage-gated channel subfamily KQT"	6980
94	0	0	0	0	0	0	0	0	0	"Rims1"	"uc007alw.1"	"regulating synaptic membrane exocytosis protein"	3570
95	0	0	0	0	1	0	0	0	0	"4933415F23Rik"	"uc007alz.1"	"hypothetical protein LOC66755"	1780
96	0	0	0	0	0	0	0	0	0	"Mir30a"	"uc011wip.1"	"Mus musculus microRNA 30a (Mir30a), microRNA."	71
97	0	0	0	0	0	0	0	0	0	"Mir30c-2"	"uc007ama.2"	"Mus musculus microRNA 30c-2 (Mir30c-2), microRNA."	84
98	419	356	393.79	396	528	513	569	535	500	"Ogfrl1"	"uc007amb.1"	"opioid growth factor receptor-like protein 1"	4844
99	0	0	0	0	0	0	0	0	0	"AK090150"	"uc007amc.1"	"Mus musculus 16 days neonate male diencephalon cDNA, RIKEN full-length enriched library, clone:G630007A06 product:unclassifiable, full insert sequence."	1522
100	0	0	0	0	0	0	0	0	0	"B3gat2"	"uc007ame.1"	"galactosylgalactosylxylosylprotein"	4355
101	622	451	433	516	628	545	597	513	567	"Smap1"	"uc007amh.1"	"stromal membrane-associated protein 1"	2259
102	131	209	233	74	68	56	64	68	67	"1110058L19Rik"	"uc007amj.2"	"hypothetical protein LOC68002 precursor"	667
103	10	10	5	2	5	3	6	12	3.01	"Fam135a"	"uc007aml.2"	"hypothetical protein LOC68187"	6467
104	0	0	0	0	0	0	0	0	0	"Col9a1"	"uc007amo.2"	"collagen alpha-1(IX) chain precursor"	3888
105	0	0	0	0	0	0	0	0	1	"Col19a1"	"uc007amq.1"	"collagen alpha-1(XIX) chain precursor"	10542
106	51919	43401	36741	55869.04	63452	65465.99	40370.68	35040	45209.14	"Atpase6"	"uc007ams.1"	"Mus musculus ATPase subunit 6 (Atpase6) mRNA, mitochondrial gene encoding mitochondrial protein, complete cds."	842
107	974.38	925.53	1023.45	1189.96	908.57	819.79	1408.98	1233.33	977.17	"Lmbrd1"	"uc007amt.1"	"probable lysosomal cobalamin transporter"	5392
108	0	0	0	0	0	0	0	0	0	"Bai3"	"uc011wis.1"	"brain-specific angiogenesis inhibitor 3"	5522
109	0	0	0	0	0	0	0	0	0	"AB349959"	"uc011wit.1"	"AB349959"	28
110	0	0	0	0	0	0	0	0	0	"4931408C20Rik"	"uc007amz.2"	"hypothetical protein LOC210940"	4331
111	0	0	0	0	0	0	0	0	0	"AK050085"	"uc007ana.1"	"Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730014A19 product:unclassifiable, full insert sequence."	1793
112	0	0	0	0	0	0	0	0	0	"Gm597"	"uc007anb.1"	"hypothetical protein LOC210962"	2882
113	0	0	0	0	2	0	0	1	0	"AK087209"	"uc007anc.1"	"Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030034H13 product:hypothetical protein, full insert sequence."	1166
114	0	0	0	0	0	0	0	0	0	"AK188812"	"uc007and.1"	"Mus musculus cDNA, clone:Y0G0146I19, strand:minus, reference:ENSEMBL:Mouse-Transcript-ENST:ENSMUST00000036880, based on BLAT search."	198
115	1164	808	815	601	552.94	498	732	560	581	"Phf3"	"uc007ane.1"	"PHD finger protein 3"	7561
116	622.3	595.98	587.85	672.31	673.16	558	478	360	524.01	"Ptp4a1"	"uc007ani.1"	"protein tyrosine phosphatase type IVA 1"	4126
117	0	0	0	0	0	0	0	0	0	"4931428L18Rik"	"uc007anl.2"	"SubName: Full=Putative uncharacterized protein; SubName: Full=RIKEN cDNA 4931428L18, isoform CRA_b;"	850
118	0	0	0	0	0	0	0	0	0	"Lgsn"	"uc007ank.1"	"lengsin"	1903
119	0	0	0	0	0	0	0	0	0	"4930521A18Rik"	"uc007anm.1"	"hypothetical protein LOC74708"	1449
120	0	0	0	0	0	0	0	0	0	"Gm4850"	"uc011wiu.1"	"Mus musculus predicted pseudogene 4850 (Gm4850), non-coding RNA."	914
121	0.9	0	1.67	0	2.64	4.2	1.27	0	4.94	"Khdrbs2"	"uc007anp.1"	"KH domain-containing, RNA-binding, signal"	1359
122	0	0	1	0	0	0	0	0	0	"Gm9839"	"uc011wiv.1"	"sentrin 15"	1437
123	0	2	0	0	2.67	0	0	0	0	"Gm5415"	"uc011wiw.1"	"sentrin 14"	3748
124	375.37	381.68	386.92	157	147.73	134	87	79.09	109.21	"Prim2"	"uc007anq.1"	"DNA primase large subunit"	1937
125	0	0.33	0	0	0	0	0	0	0	"DQ714940"	"uc007ans.1"	"DQ714940"	30
126	1	1	1	0	0	0	0	1	2	"1700001G17Rik"	"uc007ant.2"	"SubName: Full=Putative uncharacterized protein; SubName: Full=RIKEN cDNA 1700001G17;"	889
127	123	73	99	45	58	38	67	69	53	"Rab23"	"uc007anw.2"	"ras-related protein Rab-23"	4321
128	131.13	131	146	21	14	16	26	32	47	"Bag2"	"uc007any.1"	"BAG family molecular chaperone regulator 2"	1815
129	198	172	183	93	96	67	131	103	126	"Zfp451"	"uc007anz.1"	"zinc finger protein 451"	3650
130	1.4	1.82	2.82	0	2.53	0	0	2.86	0	"Gm15455"	"uc011wiy.1"	"RNA binding motif protein 10-like"	3016
131	32	35	46	13	19	13	20	18	16	"Bend6"	"uc007aoc.1"	"BEN domain-containing protein 6"	2292
132	896.87	771.44	849.98	1298.8	2138.52	1820.9	3031.94	2476.42	2266.95	"Dst"	"uc007aoi.1"	"bullous pemphigoid antigen 1 isoform b"	23242
133	978	952	1067	200	244	237	214	247	281	"Ccdc115"	"uc011wja.1"	"coiled-coil domain-containing protein 115"	1705
134	854	665	734	410	425	449	353	232	329	"Imp4"	"uc007aor.2"	"U3 small nucleolar ribonucleoprotein protein"	2249
135	758	768	1018	360	574	651	223	415	372	"Ptpn18"	"uc007aos.1"	"tyrosine-protein phosphatase non-receptor type"	1573
136	3	2	3	1	0	0	0	0	2	"AK016244"	"uc007aou.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930568A12 product:unclassifiable, full insert sequence."	718
137	0	0	0	0	0	0	0	1	1	"Prss39"	"uc007aov.1"	"inactive serine protease 39 precursor"	1246
138	0	0	0	0	0	0	0	0	0	"Cfc1"	"uc007aow.1"	"cryptic protein precursor"	1038
139	0	0	0	0	0	0	0	0	0	"Prss40"	"uc007aox.1"	"serine protease 40 precursor"	1300
140	0	0	0	0	0	0	0	0	0	"Fam123c"	"uc011wjc.1"	"hypothetical protein LOC211383"	4356
141	0	0	0	0	0	0	0	0	0	"DQ558230"	"uc007aoz.1"	"DQ558230"	39
142	0	0	0	0	0	0	0	0	0	"DQ551615"	"uc007apa.1"	"DQ551615"	28
143	0	0	0	0	0	0	0	0	0	"DQ713197"	"uc007apb.1"	"DQ713197"	32
144	0	0	0	0	0	0	0	0	0	"DQ540165"	"uc007apc.1"	"DQ540165"	35
145	0	0	0	0	0	0	0	0	0	"DQ688885"	"uc007apd.1"	"DQ688885"	30
146	0	0	0	0	0	0	0	0	0	"AA619741"	"uc011wjd.1"	"Mus musculus 2 cells egg cDNA, RIKEN full-length enriched library, clone:B020039B10 product:hypothetical protein, full insert sequence."	2676
147	118.45	107.91	116.14	17.02	34.75	32.52	15.75	25.35	44.1	"mKIAA1112"	"uc007apf.1"	"Mus musculus 13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030405F07 product:similar to BA570J18.1.2 (POSSIBLE ORTHOLOG OF COLLYBISTIN II, CONTINUED FROM BA151A2.1.3 IN EM:AL451106, CONTINUES AS BA357C3.2 IN EM:AL391277) (FRAGMENT) [Homo sapiens], full insert sequence."	6234
148	2201	1491	1479	800	948	790	810	588.58	717	"Fam168b"	"uc011wje.1"	"hypothetical protein LOC214469 isoform 1"	5059
149	2286.5	1914.41	1909.13	1800.51	1562.29	1295.36	1814.02	1398.24	1486.06	"Plekhb2"	"uc007apl.1"	"pleckstrin homology domain-containing family B"	3317
150	0	0	0	0	0	0	0	0	0	"AK003327"	"uc007apm.1"	"Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110002O04 product:unclassifiable, full insert sequence."	566
151	957	612	550	158	179	148	218	158	275	"Hs6st1"	"uc007apn.2"	"heparan-sulfate 6-O-sulfotransferase 1"	3719
152	2394	1621	1753	1075	1124	994	1172	821	965	"Uggt1"	"uc007app.2"	"UDP-glucose:glycoprotein glucosyltransferase 1"	9029
153	1612.01	1297.06	1333.4	624.04	686.09	601.47	1057.01	900	958.97	"Neurl3"	"uc007aps.1"	"E3 ubiquitin-protein ligase NEURL3"	2583
154	260.43	206	218.01	1696.82	2273	2219	1972	1947	1642	"Arid5a"	"uc007apv.2"	"AT-rich interactive domain-containing protein 5A"	5699
155	1186.11	943	1107	1204	1354	1215	2364	1898	1591	"4632411B12Rik"	"uc007aqa.1"	"hypothetical protein LOC226976"	4663
156	0	0	0	0	0	0	0	0	0	"AK132955"	"uc007aqb.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930533C12 product:hypothetical C2 domain/C2 calcium/lipid-binding domain, CaLB containing protein, full insert sequence."	1723
157	566.88	421.62	455.74	178.85	202.82	175.64	191.71	179.57	204.92	"Lman2l"	"uc007aqd.1"	"VIP36-like protein precursor"	2225
158	354	239	207	111	136.7	131.69	131	104	134	"Cnnm4"	"uc007aqg.2"	"metal transporter CNNM4"	4582
159	342.35	231.9	226.81	64.15	66.83	63.75	101.3	91.58	128.03	"Cnnm3"	"uc007aqj.1"	"metal transporter CNNM3 isoform 1"	5184
160	43	31.08	32.3	6	10	14	15	28	12	"Ankrd23"	"uc007aql.1"	"ankyrin repeat domain-containing protein 23"	1954
161	93	102.92	94.7	40	50	57	38	36	44	"Ankrd39"	"uc007aqo.1"	"ankyrin repeat domain-containing protein 39"	1786
162	98	74	123	332	365	315	360.84	385	353	"Sema4c"	"uc007aqr.2"	"semaphorin-4C precursor"	3805
163	0	1	0	0	1	1	0	1	2	"Fam178b"	"uc011wjn.1"	"hypothetical protein LOC381337 isoform A"	2282
164	2904	2486	2435	2178	2321	2350	2016	1957	2083	"Cox5b"	"uc007aqw.1"	"cytochrome c oxidase subunit 5B, mitochondrial"	569
165	1012	881	951	724	713	670	648	633	593.89	"Actr1b"	"uc007aqx.1"	"beta-centractin"	2077
166	0	4	0	0	0	0	0	1	0	"AK016893"	"uc007aqy.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4933424G06 product:unclassifiable, full insert sequence."	1120
167	0	1	0	1	0	0	2	0	0	"Zap70"	"uc007aqz.1"	"tyrosine-protein kinase ZAP-70"	2180
168	1547.1	957	906	1469	1809	1704.96	2470	1721	1840	"Tmem131"	"uc007ard.1"	"transmembrane protein 131"	6548
169	0	0	3	3	3	0	9	7	10	"Vwa3b"	"uc011wjo.1"	"SubName: Full=A230074B11Rik protein; SubName: Full=Putative uncharacterized protein; SubName: Full=RIKEN cDNA A230074B11, isoform CRA_b;"	1698
170	0	0	0	0	0	0	0	0	0	"4921511C04Rik"	"uc011wjp.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4921511C04 product:hypothetical protein, full insert sequence."	1305
171	1	2	2	1	4.15	3.82	4.01	2	1.36	"Cnga3"	"uc007ari.1"	"cyclic nucleotide-gated cation channel alpha-3"	3498
172	519	342	351	169	201	150	169	132	186.99	"Inpp4a"	"uc007arl.2"	"type I inositol-3,4-bisphosphate 4-phosphatase"	5688
173	0	0	0	0	0	0	0	0	0	"AK019601"	"uc007arm.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930439A04 product:unclassifiable, full insert sequence."	405
174	1726.73	1455.03	1545.33	1833.9	1610.06	1426.87	3141.33	2453.98	2196.87	"6330578E17Rik"	"uc007aro.2"	"hypothetical protein LOC76178"	3862
175	510.74	528	693	487	446	373.99	643	708	600	"Unc50"	"uc007arp.1"	"protein unc-50 homolog"	1412
176	1044	994	1006	1069	1052	976.18	2162.99	1646	1682	"Mgat4a"	"uc007art.2"	"alpha-1,3-mannosyl-glycoprotein"	7199
177	15.27	3.08	6.15	14.17	15.28	17.34	20.18	16.22	20.54	"4930594C11Rik"	"uc011wjs.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930594C11 product:similar to GUANINE NUCLEOTIDE REGULATORY PROTEIN (FRAGMENT) [Mus musculus], full insert sequence."	2755
178	13	6	12	4	2	6	8	6	3	"2010300C02Rik"	"uc007arx.2"	"hypothetical protein LOC72097"	4361
179	83	74	94	24	20	24	39	37	47	"Tsga10"	"uc007arz.1"	"testis-specific gene 10 protein"	3400
180	2.86	0	0	1	4.06	0	0	0	2.94	"AK039030"	"uc007asg.1"	"Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230088E03 product:unclassifiable, full insert sequence."	3089
181	27	25	30	3	6	6	5	9	7	"Lipt1"	"uc007ash.2"	"lipoyltransferase 1, mitochondrial precursor"	1555
182	138	173	221	493	468	447	831	860	639	"Mitd1"	"uc007asi.1"	"MIT domain-containing protein 1"	1229
183	812	774	949	565	706	700	834	934	712	"Mrpl30"	"uc007asj.1"	"39S ribosomal protein L30, mitochondrial"	691
184	0	0	0	0	0	0	0	0	0	"Lyg2"	"uc007ask.1"	"lysozyme g-like protein 2 precursor"	2564
185	0	0	0	0	0	0	0	0	0	"Lyg1"	"uc007asl.1"	"lysozyme g-like protein 1 precursor"	798
186	765	809.85	891	877	799	760	930	1045	813	"Txndc9"	"uc007asm.1"	"thioredoxin domain-containing protein 9"	4596
187	1420	1111	1053	1626	1674	1538	1315	1022	1206	"Eif5b"	"uc007aso.1"	"eukaryotic translation initiation factor 5B"	7797
188	262	237	274.9	133	106	130	145.1	108	111	"Rev1"	"uc007asr.1"	"DNA repair protein REV1"	4262
